arquivo,caminho_completo,ano,mes,intensidade_media,mediana,desvio,percentual_valido,threshold_crescimento,pixels_nulos,pixels_nodata,pixels_outliers,total_pixels,total_com_dados
Doutor_pedrinho_2014_02.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2014\Doutor_pedrinho_2014_02.tif,2014,2,0.42,0.3,0.54,99.47,0.69,0,1720,0,3621,1901
Doutor_pedrinho_2014_01.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2014\Doutor_pedrinho_2014_01.tif,2014,1,0.36,0.2,0.81,92.11,0.76,138,1720,0,3621,1901
Doutor_pedrinho_2014_03.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2014\Doutor_pedrinho_2014_03.tif,2014,3,0.41,0.35,0.4,98.11,0.61,26,1720,0,3621,1901
Doutor_pedrinho_2014_04.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2014\Doutor_pedrinho_2014_04.tif,2014,4,0.53,0.5,0.36,99.47,0.71,0,1720,0,3621,1901
Doutor_pedrinho_2014_06.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2014\Doutor_pedrinho_2014_06.tif,2014,6,0.35,0.25,0.63,99.47,0.67,0,1720,0,3621,1901
Doutor_pedrinho_2014_05.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2014\Doutor_pedrinho_2014_05.tif,2014,5,0.55,0.45,0.67,99.47,0.89,0,1720,0,3621,1901
Doutor_pedrinho_2014_07.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2014\Doutor_pedrinho_2014_07.tif,2014,7,0.31,0.2,0.68,99.47,0.65,0,1720,0,3621,1901
Doutor_pedrinho_2014_10.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2014\Doutor_pedrinho_2014_10.tif,2014,10,0.67,0.5,0.7,99.26,1.02,0,1720,0,3621,1901
Doutor_pedrinho_2014_09.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2014\Doutor_pedrinho_2014_09.tif,2014,9,0.52,0.4,0.58,99.47,0.81,0,1720,0,3621,1901
Doutor_pedrinho_2014_08.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2014\Doutor_pedrinho_2014_08.tif,2014,8,0.35,0.2,0.79,99.47,0.75,0,1720,0,3621,1901
Doutor_pedrinho_2014_11.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2014\Doutor_pedrinho_2014_11.tif,2014,11,0.58,0.5,0.78,99.26,0.97,0,1720,0,3621,1901
Doutor_pedrinho_2015_01.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2015\Doutor_pedrinho_2015_01.tif,2015,1,0.39,0.3,0.54,98.37,0.66,21,1720,0,3621,1901
Doutor_pedrinho_2015_02.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2015\Doutor_pedrinho_2015_02.tif,2015,2,0.45,0.35,0.71,95.53,0.81,75,1720,0,3621,1901
Doutor_pedrinho_2014_12.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2014\Doutor_pedrinho_2014_12.tif,2014,12,0.41,0.3,0.65,94.84,0.74,88,1720,0,3621,1901
Doutor_pedrinho_2015_03.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2015\Doutor_pedrinho_2015_03.tif,2015,3,0.54,0.5,0.38,99.0,0.73,9,1720,0,3621,1901
Doutor_pedrinho_2015_06.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2015\Doutor_pedrinho_2015_06.tif,2015,6,0.42,0.3,0.68,99.47,0.75,0,1720,0,3621,1901
Doutor_pedrinho_2015_04.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2015\Doutor_pedrinho_2015_04.tif,2015,4,0.57,0.5,0.7,99.11,0.93,7,1720,0,3621,1901
Doutor_pedrinho_2015_05.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2015\Doutor_pedrinho_2015_05.tif,2015,5,0.61,0.55,0.59,99.37,0.91,2,1720,0,3621,1901
Doutor_pedrinho_2015_07.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2015\Doutor_pedrinho_2015_07.tif,2015,7,0.4,0.3,0.7,99.32,0.75,3,1720,0,3621,1901
Doutor_pedrinho_2015_08.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2015\Doutor_pedrinho_2015_08.tif,2015,8,0.26,0.15,0.7,90.74,0.61,166,1720,0,3621,1901
Doutor_pedrinho_2015_09.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2015\Doutor_pedrinho_2015_09.tif,2015,9,0.3,0.2,0.68,98.79,0.64,13,1720,0,3621,1901
Doutor_pedrinho_2015_10.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2015\Doutor_pedrinho_2015_10.tif,2015,10,0.54,0.3,0.9,89.11,0.98,197,1720,0,3621,1901
Doutor_pedrinho_2015_11.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2015\Doutor_pedrinho_2015_11.tif,2015,11,0.39,0.3,0.62,99.16,0.7,6,1720,0,3621,1901
Doutor_pedrinho_2015_12.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2015\Doutor_pedrinho_2015_12.tif,2015,12,0.56,0.4,0.61,92.16,0.87,120,1720,0,3621,1901
Doutor_pedrinho_2016_01.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2016\Doutor_pedrinho_2016_01.tif,2016,1,0.29,0.15,0.67,84.96,0.62,276,1720,0,3621,1901
Doutor_pedrinho_2016_02.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2016\Doutor_pedrinho_2016_02.tif,2016,2,0.45,0.35,0.61,96.95,0.76,47,1720,0,3621,1901
Doutor_pedrinho_2016_03.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2016\Doutor_pedrinho_2016_03.tif,2016,3,0.51,0.4,0.69,99.47,0.86,0,1720,0,3621,1901
Doutor_pedrinho_2016_04.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2016\Doutor_pedrinho_2016_04.tif,2016,4,0.49,0.4,0.61,99.42,0.8,1,1720,0,3621,1901
Doutor_pedrinho_2016_05.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2016\Doutor_pedrinho_2016_05.tif,2016,5,0.53,0.45,0.6,99.47,0.83,0,1720,0,3621,1901
Doutor_pedrinho_2016_06.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2016\Doutor_pedrinho_2016_06.tif,2016,6,0.28,0.15,0.82,99.32,0.69,3,1720,0,3621,1901
Doutor_pedrinho_2016_07.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2016\Doutor_pedrinho_2016_07.tif,2016,7,0.27,0.15,0.69,98.63,0.61,16,1720,0,3621,1901
Doutor_pedrinho_2016_08.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2016\Doutor_pedrinho_2016_08.tif,2016,8,0.3,0.2,0.74,99.47,0.66,0,1720,0,3621,1901
Doutor_pedrinho_2016_09.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2016\Doutor_pedrinho_2016_09.tif,2016,9,0.29,0.2,0.67,99.05,0.62,8,1720,0,3621,1901
Doutor_pedrinho_2016_10.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2016\Doutor_pedrinho_2016_10.tif,2016,10,0.64,0.5,0.69,99.37,0.99,2,1720,0,3621,1901
Doutor_pedrinho_2016_11.tif,C:\Users\gtvargas\Documents\Doutor_pedrinho_noturno\Raster\Doutor_pedrinho_recorte\2016\Doutor_pedrinho_2016_11.tif,2016,11,0.45,0.4,0.58,98.74,0.74,14,1720,0,3621,1901
